[20:08:50] 144.167.223.232 | SYN_FLOOD | Score: 30
[20:08:50] 144.167.223.232 | SYN_FLOOD | Score: 120
[20:08:50] 144.167.223.232 | SYN_FLOOD | Score: 210
[20:08:51] 144.167.223.232 | SYN_FLOOD | Score: 240
[20:08:51] 144.167.223.232 | SYN_FLOOD | Score: 300
[20:08:51] 144.167.223.232 | SYN_FLOOD | Score: 270
[20:08:51] 144.167.223.232 | SYN_FLOOD | Score: 330
[20:08:52] 144.167.223.232 | SYN_FLOOD | Score: 360
[20:08:52] 144.167.223.232 | SYN_FLOOD | Score: 420
[20:08:52] 144.167.223.232 | SYN_FLOOD | Score: 390
[20:08:52] 144.167.223.232 | SYN_FLOOD | Score: 510
[20:08:52] 144.167.223.232 | SYN_FLOOD | Score: 480
[20:08:52] 144.167.223.232 | SYN_FLOOD | Score: 540
[20:08:52] 144.167.223.232 | SYN_FLOOD | Score: 570
[20:08:53] 144.167.223.232 | SYN_FLOOD | Score: 630
[20:08:55] 144.167.223.232 | SYN_FLOOD | Score: 720
[20:08:55] 144.167.223.232 | SYN_FLOOD | Score: 690
[20:08:55] 144.167.223.232 | SYN_FLOOD | Score: 750
[20:08:55] 144.167.223.232 | SYN_FLOOD | Score: 810
[20:08:55] 144.167.223.232 | SYN_FLOOD | Score: 840
[20:08:55] 144.167.223.232 | SYN_FLOOD | Score: 780
[20:08:55] 144.167.223.232 | SYN_FLOOD | Score: 870
[20:08:56] 144.167.223.232 | SYN_FLOOD | Score: 930
[20:08:56] 144.167.223.232 | SYN_FLOOD | Score: 900
[20:08:56] 144.167.223.232 | SYN_FLOOD | Score: 990
[20:08:56] 144.167.223.232 | SYN_FLOOD | Score: 960
[20:08:56] 144.167.223.232 | SYN_FLOOD | Score: 1110
[20:08:56] 144.167.223.232 | SYN_FLOOD | Score: 1080
[20:08:56] 144.167.223.232 | SYN_FLOOD | Score: 1020
[20:08:57] 144.167.223.232 | SYN_FLOOD | Score: 1200
[20:08:57] 144.167.223.232 | SYN_FLOOD | Score: 1170
[20:08:57] 144.167.223.232 | SYN_FLOOD | Score: 1140
[20:08:57] 144.167.223.232 | SYN_FLOOD | Score: 1230
[20:08:57] 144.167.223.232 | SYN_FLOOD | Score: 1290
[20:08:57] 144.167.223.232 | SYN_FLOOD | Score: 1320
[20:08:57] 144.167.223.232 | SYN_FLOOD | Score: 1260
[20:08:57] 144.167.223.232 | SYN_FLOOD | Score: 1350
[20:08:57] 144.167.223.232 | SYN_FLOOD | Score: 1380
[20:08:57] 144.167.223.232 | SYN_FLOOD | Score: 1410
[20:08:57] 144.167.223.232 | SYN_FLOOD | Score: 1440
[20:08:57] 144.167.223.232 | SYN_FLOOD | Score: 1500
[20:08:57] 144.167.223.232 | SYN_FLOOD | Score: 1470
[20:08:57] 144.167.223.232 | SYN_FLOOD | Score: 1530
[20:08:57] 144.167.223.232 | SYN_FLOOD | Score: 1560
[20:08:57] 144.167.223.232 | SYN_FLOOD | Score: 1590
[20:09:14] 144.167.223.232 | SYN_FLOOD | Score: 1650
[20:09:14] 144.167.223.232 | SYN_FLOOD | Score: 1620
[20:09:14] 144.167.223.232 | SYN_FLOOD | Score: 1680
[20:09:14] 144.167.223.232 | SYN_FLOOD | Score: 1710
[20:09:14] 144.167.223.232 | SYN_FLOOD | Score: 1740
[20:09:14] 144.167.223.232 | SYN_FLOOD | Score: 1770
[20:09:14] 144.167.223.232 | SYN_FLOOD | Score: 1800
[20:09:14] 144.167.223.232 | SYN_FLOOD | Score: 1860
[20:09:14] 144.167.223.232 | SYN_FLOOD | Score: 1830
[20:09:14] 144.167.223.232 | SYN_FLOOD | Score: 1890
[20:09:14] 144.167.223.232 | SYN_FLOOD | Score: 1920
[20:09:14] 144.167.223.232 | SYN_FLOOD | Score: 1950
[20:09:14] 144.167.223.232 | SYN_FLOOD | Score: 1980
[20:09:14] 144.167.223.232 | SYN_FLOOD | Score: 2010
[20:09:14] 144.167.223.232 | SYN_FLOOD | Score: 2040
[20:09:14] 144.167.223.232 | SYN_FLOOD | Score: 2070
[20:09:14] 144.167.223.232 | SYN_FLOOD | Score: 2130
[20:09:14] 144.167.223.232 | SYN_FLOOD | Score: 2160
[20:09:14] 144.167.223.232 | SYN_FLOOD | Score: 2190
[20:09:14] 144.167.223.232 | SYN_FLOOD | Score: 2220
[20:09:14] 144.167.223.232 | SYN_FLOOD | Score: 2250
[20:09:14] 144.167.223.232 | SYN_FLOOD | Score: 2280
[20:09:14] 144.167.223.232 | SYN_FLOOD | Score: 2310
[20:09:14] 144.167.223.232 | SYN_FLOOD | Score: 2340
[20:09:14] 144.167.223.232 | SYN_FLOOD | Score: 2400
[20:09:14] 144.167.223.232 | SYN_FLOOD | Score: 2370
[20:09:14] 144.167.223.232 | SYN_FLOOD | Score: 2430
[20:09:14] 144.167.223.232 | SYN_FLOOD | Score: 2460
[20:09:14] 144.167.223.232 | SYN_FLOOD | Score: 2490
[20:09:14] 144.167.223.232 | SYN_FLOOD | Score: 2520
[20:09:14] 144.167.223.232 | SYN_FLOOD | Score: 2550
[20:09:14] 144.167.223.232 | SYN_FLOOD | Score: 2580
[20:09:15] 144.167.223.232 | SYN_FLOOD | Score: 2610
[20:09:15] 144.167.223.232 | SYN_FLOOD | Score: 2640
[20:09:15] 144.167.223.232 | SYN_FLOOD | Score: 2670
[20:09:15] 144.167.223.232 | SYN_FLOOD | Score: 2700
[20:09:15] 144.167.223.232 | SYN_FLOOD | Score: 2730
[20:09:15] 144.167.223.232 | SYN_FLOOD | Score: 2790
[20:09:15] 144.167.223.232 | SYN_FLOOD | Score: 2760
[20:09:15] 144.167.223.232 | SYN_FLOOD | Score: 2850
[20:09:15] 144.167.223.232 | SYN_FLOOD | Score: 2820
[20:09:15] 144.167.223.232 | SYN_FLOOD | Score: 2880
[20:09:15] 144.167.223.232 | SYN_FLOOD | Score: 2910
[20:09:15] 144.167.223.232 | SYN_FLOOD | Score: 2940
[20:09:15] 144.167.223.232 | SYN_FLOOD | Score: 2970
[20:09:15] 144.167.223.232 | SYN_FLOOD | Score: 3030
[20:09:15] 144.167.223.232 | SYN_FLOOD | Score: 3000
[20:09:15] 144.167.223.232 | SYN_FLOOD | Score: 3060
[20:09:15] 144.167.223.232 | SYN_FLOOD | Score: 3090
[20:09:15] 144.167.223.232 | SYN_FLOOD | Score: 3120
[20:09:15] 144.167.223.232 | SYN_FLOOD | Score: 3150
[20:09:15] 144.167.223.232 | SYN_FLOOD | Score: 3180
[20:09:15] 144.167.223.232 | SYN_FLOOD | Score: 3210
[20:09:15] 144.167.223.232 | SYN_FLOOD | Score: 3240
[20:09:15] 144.167.223.232 | SYN_FLOOD | Score: 3270
[20:09:15] 144.167.223.232 | SYN_FLOOD | Score: 3300
[20:09:15] 144.167.223.232 | SYN_FLOOD | Score: 3330
[20:09:15] 144.167.223.232 | SYN_FLOOD | Score: 3360
[20:09:15] 144.167.223.232 | SYN_FLOOD | Score: 3390
[20:09:15] 144.167.223.232 | SYN_FLOOD | Score: 3420
[20:09:15] 144.167.223.232 | SYN_FLOOD | Score: 3450
[20:09:15] 144.167.223.232 | SYN_FLOOD | Score: 3480
[20:09:15] 144.167.223.232 | SYN_FLOOD | Score: 3510
[20:09:15] 144.167.223.232 | SYN_FLOOD | Score: 3540
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 3570
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 3660
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 3630
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 3600
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 3690
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 3720
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 3750
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 3780
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 3810
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 3870
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 3840
